"","msoa11nm","msoa11cd","dose","ex_deaths","unvax","pop","ex_deathrate"
"1","Abberley, Holt Heath & Hallow","E02006711","1st",4.44085931755745,1047,7422,59.8337283421914
"2","Abbey Field","E02004518","1st",6.1090142980486,4701,9739,62.7273261941534
"3","Abbey Hey","E02001065","1st",9.04098163036266,3566,8024,112.674247636623
"4","Abbey Hulton","E02002962","1st",6.52087549859878,2026,6473,100.739618393307
"5","Abbey Park","E02002834","1st",9.46565613684133,4357,10530,89.8922710051408
"6","Abbey Park","E02006848","1st",4.60796117137608,2632,6292,73.23523794304
"7","Abbey Road","E02000961","1st",23.5653018495276,5909,10635,221.58252796923
"8","Abbey Wood North","E02000315","1st",12.2361424622311,4066,8206,149.112143093238
"9","Abbey Wood South","E02000320","1st",9.45528145460506,2774,5960,158.645661990018
"10","Abbeymead & Abbeydale","E02004645","1st",4.04235160521984,1933,7721,52.3552856523745
"11","Abbots Bromley, Yoxall & Marchington","E02006136","1st",4.49195727721529,2027,8413,53.3930497707749
"12","Abbots Langley","E02004956","1st",6.99854223735077,2246,7823,89.4611049130867
"13","Abbotsmead & Salthouse","E02003983","1st",4.24303575006619,1919,6250,67.888572001059
"14","Abbotswood & West Wellow","E02004826","1st",5.90959518594047,1970,8088,73.0662114977803
"15","Abbott Road & Pleasley Hill","E02005885","1st",4.89022666825425,2100,7454,65.6054020425845
"16","Aberford, Barwick & Thorner","E02002359","1st",3.32304289864141,1153,5735,57.9432066022913
"17","Abingdon Audlett Drive & Farm Road","E02005982","1st",3.88813420175501,1556,5155,75.4245237973815
"18","Abingdon Northcourt & Peachcroft","E02005981","1st",5.27276863977059,2155,7684,68.6201020272071
"19","Abingdon South","E02005985","1st",6.0343327386691,2371,7130,84.6329977372945
"20","Abingdon Town & West","E02005983","1st",10.0138205426838,3803,10240,97.7912162371465
"21","Abington","E02005671","1st",9.61429574523758,4074,7622,126.138752889499
"22","Abington Vale","E02005669","1st",3.99967976352087,1384,5388,74.2331062271877
"23","Abram & Bickershaw","E02001312","1st",3.85075857544509,2575,7140,53.9321929334047
"24","Accrington North East","E02005215","1st",10.7888150564211,3621,10389,103.848446014256
"25","Accrington South East","E02005219","1st",7.48292661288638,2262,7407,101.025065652577
"26","Accrington West","E02005217","1st",15.0163000036154,5345,10325,145.436319647607
"27","Acklam","E02002507","1st",3.27944766663556,1433,5277,62.1460615242668
"28","Ackworth & Darrington","E02002471","1st",6.5926574212391,2296,10075,65.435805669867
