hour,0-24,25-39,40-54,55-69,70+
0,1071,1101,1084,977,390
1,1115,1128,926,707,331
2,1051,894,704,456,241
3,923,759,538,352,224
4,577,553,415,294,184
5,317,390,303,231,158
6,269,391,281,212,200
7,252,374,349,299,340
8,195,344,401,360,469
9,235,393,503,429,519
10,249,406,527,508,527
11,242,439,616,531,544
12,271,511,776,658,630
13,272,605,889,719,567
14,288,620,921,789,592
15,328,701,990,827,638
16,360,712,989,964,707
17,365,650,1051,910,741
18,440,765,1006,1086,781
19,601,937,1229,1174,874
20,674,938,1253,1114,774
21,803,1073,1396,1169,700
22,907,1099,1323,1069,635
23,953,1080,1162,999,517
